Episodes,S3,S1,B3,B2,B1,S2,episode_len
46,9.407608695652174,9.728260869565217,10.028532608695652,9.990489130434783,10.27038043478261,10.574728260869565,4.282608695652174
92,9.629076086956522,9.816576086956522,10.294157608695652,9.873641304347826,10.337635869565217,10.048913043478262,4.315217391304348
142,9.763125,9.126875,10.503125,10.41125,10.931875,9.26375,4.33
181,9.99875,8.98375,10.570625,10.790625,10.80875,8.8475,4.46
228,10.080625,9.4975,10.4225,10.4375,10.0,9.561875,4.5
266,9.510625,9.910625,10.428125,10.243125,9.845625,10.061875,4.68
305,9.4125,9.62125,10.985,10.03125,10.185,9.765,5.13
342,9.223125,9.26,11.23,10.440625,10.038125,9.808125,5.22
390,9.30875,9.78375,10.8575,10.21625,10.265625,9.568125,4.65
430,9.984375,9.959375,9.955625,10.2125,9.814375,10.07375,4.61
475,10.798125,10.314375,9.7125,10.130625,9.1775,9.866875,4.62
522,10.37,9.624375,10.360625,10.38375,9.5525,9.70875,4.39
566,9.94875,9.91,10.135625,10.12375,9.96125,9.920625,4.38
607,9.2975,9.82625,10.138125,10.184375,10.718125,9.835625,4.73
658,9.585,9.919375,9.848125,10.176875,10.616875,9.85375,4.35
697,10.075625,10.203125,9.88875,9.874375,9.81125,10.146875,4.35
737,9.625,9.77375,10.17875,10.203125,10.08,10.139375,4.85
776,9.918125,10.085,9.956875,9.675625,10.285,10.079375,5.01
817,9.528125,9.916875,10.07125,9.91,10.683125,9.890625,5.07
862,8.99375,9.791875,10.320625,10.135625,10.79125,9.966875,4.71
906,8.9275,9.808125,10.45375,10.304375,10.6175,9.88875,4.64
956,9.618125,9.26875,10.59125,10.485625,10.473125,9.563125,4.26
996,10.230625,9.35625,10.215625,10.03625,10.47625,9.685,4.55
1039,9.935,9.510625,10.37125,10.10375,10.573125,9.50625,4.7
1079,9.435625,9.425625,10.6925,10.2925,10.935,9.21875,4.97
1121,9.411875,9.721875,10.720625,9.736875,10.565625,9.843125,4.77
1160,8.578125,9.220625,10.725625,10.09,11.429375,9.95625,4.99
1189,8.64375,9.034375,10.624375,10.33625,11.668125,9.693125,5.57
1233,9.469375,9.074375,10.245,10.334375,11.32,9.556875,5.4
1271,9.444375,9.4625,10.024375,10.278125,11.146875,9.64375,5.21
1313,9.29875,9.419375,9.954375,10.200625,11.17,9.956875,4.99
1347,9.22375,9.82375,10.10625,10.36375,10.785625,9.696875,5.06
1387,8.995625,10.018125,10.441875,10.59125,10.3125,9.640625,5.31
1430,9.4525,10.103125,10.060625,10.065625,10.458125,9.86,4.85
1467,9.574375,10.115,9.763125,10.273125,10.138125,10.13625,4.95
1508,9.18875,9.833125,10.155625,10.2125,10.5375,10.0725,5.16
1546,8.409375,9.553125,10.91875,10.903125,10.734375,9.48125,4.97
1587,8.6425,9.6875,11.11875,10.6,10.72875,9.2225,4.95
1626,8.8975,9.88125,10.729375,10.105,10.99,9.396875,5.06
1669,9.321875,10.095625,10.07625,9.856875,10.788125,9.86125,4.96
1712,9.3225,9.954375,10.066875,10.48125,10.776875,9.398125,4.81
1746,9.465,10.0125,10.16,10.6425,10.801875,8.918125,5.03
1782,9.55,9.593125,10.33,10.5,10.58125,9.445625,5.31
1821,9.151875,9.485625,10.566875,10.744375,10.72875,9.3225,5.38
1857,8.92875,9.596875,10.900625,10.4925,10.87875,9.2025,5.47
1887,8.915625,9.836875,10.64375,10.7875,11.164375,8.651875,5.66
1922,8.514375,10.0075,10.93125,10.5075,11.4,8.639375,5.95
1956,8.8025,9.631875,10.938125,10.86875,11.150625,8.608125,6.02
1990,9.204375,9.504375,10.558125,10.6975,10.698125,9.3375,5.73
2025,9.949375,8.9075,9.74,10.993125,10.639375,9.770625,5.89
2058,9.89,8.738125,9.79375,11.1375,10.93625,9.504375,5.77
2085,9.549375,8.736875,10.06875,10.799375,10.938125,9.9075,6.32
2112,9.661875,8.9975,10.220625,10.53375,11.03125,9.555,6.7
2148,9.445625,9.358125,10.49125,10.2375,10.89875,9.56875,6.71
2181,10.004375,9.445625,10.58,10.0175,10.544375,9.408125,6.2
2209,9.353125,9.5225,10.7525,9.8875,10.610625,9.87375,6.03
2240,9.015625,9.660625,10.83,9.679375,10.75875,10.055625,6.31
2273,8.691875,9.593125,10.896875,10.09875,10.879375,9.84,6.58
2299,8.839375,9.570625,10.566875,10.0975,11.03625,9.889375,6.76
2332,9.15875,9.480625,10.3375,10.679375,10.88625,9.4575,6.65
2360,9.105,9.673125,10.878125,10.331875,10.823125,9.18875,6.9
2393,8.74625,9.62875,10.9325,10.71375,10.888125,9.090625,6.62
2424,8.750625,9.59625,10.97375,10.74625,10.976875,8.95625,6.56
2452,8.36,9.131875,10.931875,11.240625,11.24,9.095625,6.58
2481,8.57125,9.348125,10.99125,10.96125,10.835,9.293125,6.58
2505,8.565,9.305625,11.126875,10.521875,10.705625,9.575,7.15
2531,8.449375,9.33625,11.11125,10.415,10.980625,9.5075,7.33
2559,8.994375,9.760625,10.946875,9.961875,10.83875,9.2975,7.51
2582,8.865625,9.6,10.6275,10.15,11.163125,9.39375,7.99
2605,8.629375,9.54375,10.579375,10.481875,11.379375,9.38625,8.01
2632,8.709375,9.73875,10.435625,10.345,11.308125,9.463125,7.91
2658,8.14625,9.61375,10.76,10.664375,11.543125,9.2725,7.95
2685,8.1675,9.514375,10.889375,10.64,11.605625,9.183125,7.75
2708,8.516875,9.476875,10.82375,10.685625,11.37,8.926875,7.8
2733,8.466875,9.14625,10.91,11.105625,11.125,9.04625,7.7
2750,8.51,9.225625,10.793125,10.84625,11.140625,9.084375,8.98
2768,8.795,9.4575,10.888125,10.414375,10.689375,8.955625,9.15
2790,9.13,9.548125,10.684375,10.165625,10.605,8.866875,9.77
2813,8.853125,9.4475,10.8075,10.295625,10.841875,8.754375,9.68
2836,8.688125,9.226875,10.965625,10.366875,11.234375,8.318125,9.86
2862,9.015,9.106875,10.7625,10.8125,11.166875,8.53625,8.53
2878,8.82625,9.278125,10.704375,10.86875,11.185,8.3375,8.97
2899,8.685625,9.241875,11.065625,10.774375,11.531875,8.300625,8.79
2922,8.98125,9.514375,10.550625,10.521875,11.3625,8.669375,9.42
2946,9.220625,9.64,10.65625,10.335625,11.206875,8.740625,9.0
2963,9.12625,9.72125,10.68,10.349375,11.405625,8.7175,9.67
2986,8.9175,9.423125,10.66375,10.461875,11.37875,9.155,9.24
3001,9.144375,9.455625,10.538125,10.151875,11.304375,9.205625,9.76
3021,8.841875,9.451875,10.886875,10.058125,11.185,9.17625,10.02
3041,8.8575,9.3575,10.77,10.1875,11.15875,9.26875,10.29
3063,8.880625,9.641875,10.4875,9.968125,11.274375,9.3475,10.06
3083,9.16375,9.920625,10.45125,9.935,11.029375,9.1,10.36
3105,9.208125,9.888125,10.519375,10.225625,11.049375,9.109375,9.45
3125,8.968125,9.889375,10.76,10.3475,11.1675,8.8675,9.53
3145,8.914375,9.90125,10.84875,10.15875,11.18,8.996875,9.45
3168,8.8725,9.708125,10.84625,10.373125,11.19375,9.00625,9.45
3189,8.86875,9.719375,10.9,10.361875,11.20625,8.94375,9.25
3215,8.871875,9.495,10.93375,10.525,11.165625,9.00875,9.05
3241,8.96625,9.649375,10.6125,10.576875,11.348125,8.846875,8.37
3260,9.090625,9.451875,10.624375,10.515,11.1575,8.760625,8.78
3284,9.018125,9.40625,10.790625,10.42,11.15375,8.81125,8.44
3306,8.983125,9.218125,10.7975,10.448125,11.24375,8.909375,8.61
3332,9.078125,9.239375,10.926875,10.419375,11.011875,8.924375,8.77
3351,8.90875,9.218125,11.03375,10.525625,11.3,8.81375,8.87
3376,9.185625,9.3975,10.965,10.473125,11.113125,8.865625,8.57
3398,9.246875,9.5375,10.89625,10.364375,11.111875,8.843125,8.68
3419,9.231875,9.635625,10.998125,10.078125,11.044375,8.811875,8.93
3441,9.238125,9.60375,11.093125,10.185,10.83875,8.64125,9.12
3468,9.214375,9.574375,11.239375,9.93625,10.971875,8.66375,8.85
3497,9.141875,9.385625,11.500625,10.01875,11.101875,8.45125,8.04
3518,9.194375,9.354375,11.350625,10.1825,11.141875,8.37625,8.24
3544,9.09375,9.3175,11.32125,10.21875,11.380625,8.468125,7.78
3567,9.2225,9.38875,11.140625,10.16875,11.154375,8.725,8.1
3590,9.34125,9.5425,10.9425,9.90875,11.025625,9.039375,8.43
3620,9.3175,9.609375,11.103125,9.94375,10.9725,9.05375,7.86
3649,9.20875,9.80125,11.43,10.003125,10.814375,8.7425,7.48
3677,9.32125,9.731875,11.32375,10.075,10.729375,8.81875,7.14
3703,9.17125,9.668125,11.29625,10.279375,10.70375,8.88125,6.96
3734,9.3375,9.909375,11.036875,10.065,10.69,8.96125,6.97
3751,9.37625,9.765625,10.91125,10.205,10.96,8.781875,7.84
3776,9.131875,9.766875,10.871875,10.420625,10.904375,8.504375,7.96
3801,9.13125,9.77,10.8375,10.414375,11.095625,8.35125,8.22
3832,8.9675,9.6375,10.955625,10.490625,11.16875,8.38,8.09
3864,9.138125,9.68625,10.971875,10.174375,11.37,8.659375,6.87
3893,9.176875,9.61375,10.955625,10.2075,11.33875,8.7075,6.47
3919,9.2825,9.6175,11.00375,10.040625,11.291875,8.76375,6.96
3943,9.2625,9.495625,11.1125,10.128125,11.140625,8.860625,7.3
3976,9.0975,9.280625,11.2375,10.234375,11.26125,8.88875,7.05
4008,9.28125,9.37625,11.233125,10.35375,11.08625,8.669375,6.78
4034,9.37,9.429375,11.315,10.124375,11.14,8.62125,6.62
4064,9.61625,9.4625,10.96,10.09375,11.075,8.5925,6.68
4093,9.49875,9.389375,11.17375,10.081875,11.094375,8.561875,7.03
4116,9.413125,9.444375,11.108125,10.0125,11.041875,8.78,7.31
4152,9.318125,9.355625,11.148125,10.09375,11.018125,8.86625,6.7
4182,9.31,9.5975,11.2025,10.0475,10.94875,8.89375,6.63
4209,9.33375,9.538125,11.153125,10.041875,11.025,8.908125,6.46
4235,9.475,9.748125,11.138125,9.815,10.983125,8.840625,6.86
4271,9.463125,9.5425,11.188125,9.90375,11.07625,8.82625,6.79
4303,9.4075,9.468125,11.126875,9.923125,11.335,8.739375,6.63
4335,9.289375,9.4725,11.13,10.003125,11.499375,8.605625,6.08
4360,9.290625,9.595,10.841875,9.996875,11.341875,8.53375,6.62
4396,9.22375,9.78625,10.96625,9.97375,11.1825,8.4675,6.46
4428,9.420625,9.82875,10.97125,9.796875,11.004375,8.578125,6.57
4463,9.42,9.753125,11.24625,9.7875,11.10625,8.686875,5.81
4494,9.465,9.66125,11.01875,9.971875,11.3,8.583125,6.09
4529,9.354375,9.629375,11.17875,10.200625,11.33,8.306875,5.96
4566,9.524375,9.685625,11.044375,10.0675,11.224375,8.45375,5.84
4609,9.544375,9.71375,11.170625,9.978125,11.04625,8.546875,4.96
4641,9.451875,9.5875,11.029375,10.158125,11.0675,8.705625,5.16
4672,9.28125,9.504375,11.14,10.236875,11.205625,8.631875,5.52
4705,9.195,9.42375,11.295,10.34125,11.168125,8.576875,6.11
4742,9.176875,9.55625,11.3575,10.168125,11.104375,8.636875,5.94
4781,9.135625,9.6725,11.235,10.4175,11.06625,8.473125,5.42
4813,9.22375,9.783125,10.954375,10.353125,11.173125,8.5125,5.6
4851,9.181875,9.7625,10.860625,10.39375,11.2025,8.59875,5.46
4890,9.1575,9.79625,10.973125,10.256875,11.1675,8.64875,5.5
4928,9.13625,9.66375,11.109375,10.28875,10.949375,8.8525,5.04
4961,9.283125,9.7025,11.0575,10.065,11.105625,8.78625,5.55
4999,9.178125,9.57,11.109375,10.235625,11.24375,8.663125,5.37
5032,9.21125,9.5875,11.070625,10.28875,11.261875,8.58,5.51
5072,9.2125,9.575,11.05375,10.304375,11.21625,8.638125,5.4
5112,9.298125,9.6225,11.0475,10.22375,11.13625,8.671875,5.31
5150,9.261875,9.56,11.0725,10.276875,11.23625,8.5925,5.15
5195,9.0475,9.47625,11.139375,10.3575,11.290625,8.68875,4.85
5234,9.09875,9.426875,11.030625,10.405,11.226875,8.811875,4.9
5272,9.0375,9.388125,11.201875,10.58,11.38375,8.40875,4.9
5317,9.10625,9.505,11.186875,10.51625,11.39,8.295625,4.87
5361,9.055,9.47625,11.09125,10.71125,11.418125,8.248125,4.71
5397,9.0175,9.42375,10.966875,10.86875,11.298125,8.425,4.89
5437,9.1075,9.34625,10.87,10.564375,11.281875,8.83,5.24
5475,9.166875,9.428125,10.96,10.471875,11.161875,8.81125,5.23
5520,9.2075,9.430625,11.041875,10.58125,11.043125,8.695625,4.77
5566,9.29125,9.3225,10.954375,10.490625,10.94125,9.0,4.48
5608,9.149375,9.40125,11.08375,10.413125,10.855625,9.096875,4.48
5648,9.115625,9.504375,11.1625,10.434375,10.950625,8.8325,4.68
5687,8.984375,9.584375,11.159375,10.506875,11.09375,8.67125,5.15
5732,9.155625,9.576875,10.959375,10.501875,11.0875,8.71875,4.73
5767,9.173125,9.5975,10.8975,10.479375,11.048125,8.804375,5.04
5805,9.13125,9.4825,10.9325,10.59125,10.91625,8.74625,5.14
5849,8.909375,9.44125,11.125625,10.78125,10.798125,8.744375,5.02
5895,8.891875,9.246875,11.191875,10.91125,10.94125,8.816875,4.46
5943,9.076875,9.351875,10.999375,10.6825,10.941875,8.9475,4.28
5991,8.994375,9.4125,11.095625,10.80125,10.978125,8.718125,4.17
6036,8.843125,9.34125,11.115625,11.030625,11.025,8.644375,4.28
6083,8.928125,9.319375,11.08,10.88375,11.01625,8.7725,4.32
6143,9.0975,9.385625,11.061875,10.655625,10.955,8.844375,3.61
6193,9.045625,9.495625,11.049375,10.633125,10.98625,8.79,3.75
6238,9.00875,9.510625,11.01125,10.74,10.973125,8.75625,4.16
6285,8.888125,9.280625,11.1825,10.963125,11.018125,8.6675,4.17
6337,8.835625,9.278125,11.25375,10.973125,11.035,8.624375,4.1
6395,8.97,9.36375,11.1975,10.761875,10.99,8.716875,3.54
6450,8.883125,9.259375,11.18125,10.9975,11.028125,8.650625,3.62
6512,8.834375,9.34,10.96875,10.885,11.17,8.801875,3.38
6562,8.768125,9.23875,11.16875,10.92125,11.113125,8.79,3.66
6612,8.853125,9.280625,11.2575,10.78375,11.063125,8.761875,3.99
6663,8.8825,9.43375,11.095625,10.735625,11.07,8.7825,3.91
6722,8.89125,9.444375,10.978125,10.8025,11.0625,8.82125,3.45
6784,8.820625,9.3075,11.240625,10.976875,10.92125,8.733125,3.32
6839,8.949375,9.200625,11.2475,10.925625,10.92625,8.750625,3.48
6905,8.93875,9.285,11.19625,10.80125,10.886875,8.891875,3.3
6966,8.74375,9.105,11.29,11.01125,11.016875,8.833125,3.15
7023,8.820625,9.11125,11.290625,11.033125,11.068125,8.67625,3.43
7088,8.846875,9.204375,11.175,11.006875,11.041875,8.725,3.26
7148,8.74375,9.2575,11.260625,10.86125,10.93375,8.943125,3.27
7211,8.86125,9.096875,11.1625,10.915625,11.05875,8.905,3.26
7275,8.72125,9.205,11.226875,10.951875,10.995,8.9,3.19
7336,8.680625,9.24125,11.268125,10.91,10.995,8.905,3.3
7404,8.695625,9.2225,11.239375,10.974375,10.96625,8.901875,3.1
7467,8.72125,9.19125,11.26375,11.01,10.956875,8.856875,3.05
7531,8.768125,9.0275,11.24125,11.066875,10.988125,8.908125,3.05
7596,8.725,9.08,11.305,11.05375,11.041875,8.794375,3.19
7664,8.7675,9.120625,11.325,11.006875,10.915,8.865,2.96
7731,8.816875,9.0275,11.379375,10.9025,10.961875,8.911875,3.03
7804,8.879375,9.13875,11.253125,10.8175,10.92875,8.9825,2.79
7877,8.756875,9.04375,11.229375,11.08625,11.003125,8.880625,2.73
7943,8.65875,9.106875,11.30125,11.035625,10.966875,8.930625,2.94
8011,8.599375,9.0975,11.35875,11.07625,10.969375,8.89875,3.03
8082,8.651875,9.11875,11.324375,11.05375,10.92375,8.9275,2.81
8156,8.74,9.1525,11.259375,10.95,11.0025,8.895625,2.7
8232,8.77,9.199375,11.16125,10.94125,10.890625,9.0375,2.6
8305,8.76625,9.206875,11.236875,10.878125,10.99,8.921875,2.7
8377,8.749375,9.108125,11.331875,10.93875,10.979375,8.8925,2.71
8463,8.661875,9.146875,11.365625,11.00125,10.974375,8.85,2.4
8538,8.7125,9.089375,11.24125,11.05625,10.988125,8.9125,2.53
8621,8.67625,9.075625,11.305,11.0275,11.078125,8.8375,2.47
8701,8.72875,9.120625,11.275625,10.945,11.02,8.91,2.45
8782,8.633125,9.0325,11.425625,11.044375,11.051875,8.8125,2.55
8866,8.65875,9.02375,11.3275,11.075,11.0325,8.8825,2.48
8948,8.584375,9.075625,11.39,11.155,10.97625,8.81875,2.41
9031,8.713125,9.085,11.36125,11.038125,10.935,8.8675,2.36
9119,8.705625,8.960625,11.319375,11.156875,11.056875,8.800625,2.29
9203,8.6575,9.05625,11.309375,11.106875,11.08125,8.78875,2.39
9288,8.72625,9.108125,11.354375,10.971875,11.055,8.784375,2.34
9376,8.598125,9.043125,11.441875,11.0675,11.035625,8.81375,2.27
9463,8.60625,9.090625,11.364375,11.085,10.935,8.91875,2.35
9552,8.651875,9.02875,11.430625,11.0925,11.08125,8.715,2.22
9643,8.604375,9.09625,11.528125,11.11375,11.03,8.6275,2.22
9734,8.6475,9.00875,11.341875,11.164375,11.0425,8.795,2.22
9823,8.5575,9.0725,11.516875,11.156875,10.9525,8.74375,2.23
9917,8.641875,9.04875,11.439375,11.090625,11.000625,8.77875,2.15
10007,8.67625,9.048125,11.33125,11.125625,11.010625,8.808125,2.21
10101,8.555,9.031875,11.409375,11.058125,11.040625,8.905,2.13
10189,8.58,8.9825,11.45375,11.078125,11.05,8.855625,2.25
10279,8.64125,9.024375,11.369375,11.135,11.00375,8.82625,2.23
10372,8.62375,9.0575,11.463125,11.03,11.0025,8.823125,2.15
10464,8.625,9.06625,11.44125,10.993125,11.034375,8.84,2.17
10561,8.58625,9.00125,11.44375,11.11125,11.02625,8.83125,2.06
10659,8.63,9.02125,11.47,11.059375,10.970625,8.84875,2.07
10762,8.633495145631068,9.001820388349515,11.493325242718447,11.068567961165048,10.99635922330097,8.806432038834952,1.941747572815534
10861,8.5825,8.998125,11.464375,11.05,11.0475,8.8575,2.02
10960,8.489375,9.04625,11.54,11.106875,11.01375,8.80375,2.01
11054,8.54125,9.034375,11.405,11.1025,11.020625,8.89625,2.08
11150,8.618125,8.976875,11.421875,11.076875,11.0375,8.86875,2.1
11247,8.59625,9.025625,11.471875,11.075,10.96875,8.8625,2.06
11349,8.582107843137255,8.999387254901961,11.439950980392156,11.106004901960784,11.037377450980392,8.835171568627452,1.9509803921568627
11450,8.628712871287128,9.008044554455445,11.423267326732674,11.032178217821782,11.001237623762377,8.906559405940595,1.99009900990099
11541,8.5325,9.020625,11.453125,11.1,10.99125,8.9025,2.18
11646,8.52797619047619,9.035119047619048,11.511309523809524,11.061309523809523,11.05,8.814285714285715,1.8952380952380952
11741,8.716875,9.01625,11.454375,11.02375,10.93375,8.855,2.12
11843,8.626838235294118,9.020220588235293,11.481617647058824,11.133578431372548,10.897671568627452,8.840073529411764,1.9705882352941178
11944,8.56559405940594,9.006806930693068,11.452351485148515,11.04269801980198,11.058168316831683,8.874381188118813,1.9603960396039604
12045,8.696782178217822,9.042079207920793,11.444306930693068,11.004331683168317,10.932549504950495,8.879950495049505,1.99009900990099
12144,8.52875,9.009375,11.50625,11.099375,11.0,8.85625,2.03
12241,8.600625,9.021875,11.45875,11.043125,10.955,8.920625,2.04
