Episodes,B3,B2,Sellers,B1,episode_len
48,9.83984375,10.421875,30.0078125,9.73046875,4.020833333333333
92,9.858016304347826,10.38586956521739,29.835597826086957,9.920516304347826,4.326086956521739
134,10.07625,10.32125,29.431875,10.170625,4.68
174,10.120625,10.17,28.894375,10.815,4.84
214,10.5675,10.221875,28.57625,10.634375,4.94
254,10.6775,10.500625,27.795,11.026875,4.88
300,10.483125,10.2675,28.41375,10.835625,4.7
345,10.220625,9.98,29.278125,10.52125,4.46
392,10.03625,10.553125,29.576875,9.83375,4.31
442,10.0625,10.8025,29.218125,9.916875,4.06
488,10.530625,10.0975,28.980625,10.39125,4.18
528,10.704375,9.91875,28.36,11.016875,4.61
572,10.754375,10.31875,27.706875,11.22,4.65
620,10.83125,10.164375,28.256875,10.7475,4.42
660,10.395625,10.31875,28.87625,10.409375,4.52
703,10.60875,10.743125,28.464375,10.18375,4.75
751,10.595625,10.043125,29.255625,10.105625,4.54
797,10.8175,10.42375,28.68625,10.0725,4.24
843,10.51875,10.404375,28.68375,10.393125,4.29
889,10.100625,10.106875,29.363125,10.429375,4.44
927,10.02375,10.434375,29.356875,10.185,4.78
968,10.389375,10.8625,28.818125,9.93,5.0
1011,10.79,11.525,27.0675,10.6175,4.92
1053,11.255625,11.400625,26.859375,10.484375,4.57
1095,10.884375,10.956875,27.49375,10.665,4.74
1134,10.714375,10.853125,28.02375,10.40875,4.85
1174,10.466875,10.170625,28.645,10.7175,4.94
1213,10.514375,10.58125,27.90375,11.000625,5.16
1252,10.349375,10.1725,28.45875,11.019375,5.2
1285,10.585625,10.57875,28.483125,10.3525,5.59
1322,11.060625,9.803125,28.884375,10.251875,5.38
1367,11.86875,10.348125,26.789375,10.99375,5.01
1407,11.74625,10.765,26.018125,11.470625,4.85
1445,11.260625,10.911875,26.210625,11.616875,4.98
1486,11.115625,10.9,27.040625,10.94375,5.07
1524,11.03875,10.51375,27.511875,10.935625,5.28
1558,11.471875,10.814375,26.61625,11.0975,5.31
1596,11.748125,10.9475,26.130625,11.17375,5.44
1631,11.635625,11.53625,25.638125,11.19,5.54
1665,11.540625,11.146875,26.32,10.9925,5.5
1694,11.41,11.180625,26.255625,11.15375,6.02
1728,12.095625,11.13375,25.8475,10.923125,6.18
1765,12.238125,11.406875,25.129375,11.225625,6.19
1795,11.948125,11.5825,25.0725,11.396875,5.9
1831,11.204375,11.71875,25.84,11.236875,5.88
1870,10.945625,11.263125,26.529375,11.261875,5.59
1911,11.27625,11.07125,26.63875,11.01375,5.16
1944,11.39,11.299375,26.185,11.125625,5.33
1975,11.315625,11.88125,25.50625,11.296875,5.72
2012,11.521875,12.251875,24.930625,11.295625,5.86
2048,11.71125,12.1075,24.525625,11.655625,5.77
2088,12.07375,11.9275,24.5225,11.47625,5.49
2117,12.0575,11.388125,25.13125,11.423125,5.64
2147,11.891875,11.794375,24.711875,11.601875,6.07
2187,11.993125,12.084375,23.794375,12.128125,6.07
2221,11.73125,12.583125,23.4975,12.188125,5.69
2258,11.729375,11.994375,24.4025,11.87375,5.49
2294,12.0575,11.918125,24.293125,11.73125,5.41
2325,12.425625,11.9575,23.514375,12.1025,5.76
2360,12.44,12.050625,23.09875,12.410625,5.91
2390,12.311875,12.011875,23.198125,12.478125,6.21
2426,12.345,12.365625,23.115625,12.17375,5.95
2460,11.729375,12.725625,23.520625,12.024375,6.03
2496,11.8675,12.7225,23.43625,11.97375,5.7
2527,11.71625,12.720625,23.723125,11.84,5.91
2557,12.29125,12.794375,23.32875,11.585625,6.19
2585,12.524375,13.0625,22.619375,11.79375,6.53
2617,12.671875,13.108125,22.37625,11.84375,6.68
2653,13.07,13.21625,21.623125,12.090625,6.22
2685,12.749375,12.95,22.616875,11.68375,6.0
2715,12.77125,13.016875,22.474375,11.7375,6.08
2740,12.6975,13.025,22.53375,11.74375,6.64
2778,12.881875,12.935,22.14,12.043125,6.45
2809,12.65375,13.050625,22.13875,12.156875,6.37
2837,13.090625,12.9325,21.729375,12.2475,6.39
2869,12.941875,12.713125,22.33,12.015,6.49
2893,12.85875,12.64375,22.40875,11.88875,6.95
2923,12.9975,12.71375,21.70875,12.38,6.97
2955,12.685625,12.768125,21.523125,12.823125,6.96
2991,12.900625,12.683125,21.783125,12.633125,6.14
3018,12.79375,12.585625,22.26625,12.354375,6.32
3046,12.991875,12.64,22.284375,12.08375,6.45
3069,13.0875,12.410625,22.40875,12.093125,6.97
3099,12.661875,12.435625,22.306875,12.595625,7.36
3127,12.875,12.361875,22.28375,12.479375,7.42
3155,12.810625,12.57625,21.721875,12.89125,7.21
3183,13.19375,12.91375,20.978125,12.914375,7.12
3211,13.175625,13.108125,21.2925,12.42375,7.24
3238,13.264375,12.836875,21.63375,12.265,7.25
3263,13.013125,13.046875,21.661875,12.278125,7.33
3286,12.971875,13.00125,21.543125,12.48375,7.85
3312,13.481875,12.7675,20.738125,13.0125,7.89
3335,13.574375,12.579375,20.833125,13.013125,8.16
3359,13.751875,12.750625,20.2025,13.095,8.35
3384,13.864375,12.7525,20.14,13.043125,8.08
3410,13.9025,12.86125,20.51875,12.5175,8.16
3438,13.77625,13.024375,20.6925,12.306875,7.76
3463,13.7,12.82,21.331875,12.148125,7.62
3482,13.729375,13.108125,21.044375,12.118125,8.16
3507,13.76125,12.935625,21.041875,12.26125,8.15
3533,14.055,13.425625,19.913125,12.60625,8.55
3555,13.703125,13.394375,20.240625,12.661875,8.84
3575,13.890625,13.039375,20.21625,12.65375,8.73
3602,13.560625,13.105625,20.284375,12.849375,8.37
3623,13.690625,12.723125,20.353125,13.033125,8.73
3649,13.6925,13.10625,19.9525,13.04875,8.73
3668,13.615625,13.125,19.909375,13.15,8.91
3689,13.59375,13.34875,20.115,12.9425,8.88
3710,13.5375,13.25375,20.42125,12.7875,9.43
3733,13.585625,13.609375,20.4525,12.3525,9.12
3757,13.70125,13.301875,20.61,12.386875,9.19
3780,13.645625,13.293125,20.700625,12.360625,8.97
3799,13.589375,13.283125,20.686875,12.440625,8.68
3816,13.71375,12.893125,20.733125,12.66,9.22
3842,13.61125,12.60625,21.051875,12.730625,8.99
3864,13.563125,12.68625,20.503125,13.2475,9.49
3891,13.569375,12.615,20.494375,13.32125,8.87
3909,13.58375,12.538125,20.710625,12.9675,8.61
3932,13.65625,12.819375,20.344375,12.98,8.82
3952,13.4375,12.806875,20.4225,12.933125,8.85
3973,13.239375,12.710625,21.026875,12.423125,9.18
3996,13.1875,13.01125,20.79,12.61125,9.15
4018,13.20625,12.91375,20.6475,12.8325,9.22
4035,13.249375,12.75375,20.765,12.631875,9.87
4054,13.3025,12.9625,20.779375,12.555625,9.9
4074,13.36375,12.82125,20.945,12.67,9.88
4093,13.370625,12.653125,21.18125,12.395,10.34
4111,13.26875,12.805,21.18625,12.34,10.69
4128,13.105,12.88875,21.360625,12.245625,10.78
4147,13.12375,12.76625,21.24875,12.26125,10.75
4167,13.21375,12.828125,21.048125,12.31,10.67
4184,13.08,12.908125,20.821875,12.39,11.11
4199,13.309375,12.85125,20.469375,12.57,11.18
4218,13.428125,12.705625,20.459375,12.806875,10.92
4234,13.471875,12.873125,19.840625,13.014375,11.3
4252,13.334375,12.7525,20.315625,12.9975,11.39
4271,13.28125,12.76875,20.504375,12.845625,11.52
4292,13.36,12.803125,20.41625,12.820625,10.94
4312,13.33125,12.8175,20.308125,13.143125,10.67
4331,13.486875,12.8375,20.178125,13.2975,10.49
4348,13.5,12.92,20.054375,13.325625,10.43
4368,13.639375,13.1,19.47,13.590625,10.3
4386,13.71,13.17875,19.618125,13.293125,10.52
4401,13.68625,13.003125,19.7825,13.328125,10.86
4420,13.59625,13.136875,19.669375,13.3975,10.88
4435,13.325625,13.12,19.958125,13.19625,11.35
4451,13.349375,12.998125,19.828125,13.224375,11.6
4468,13.196875,12.880625,20.076875,13.245625,11.99
4490,13.39875,12.83875,19.900625,13.461875,11.41
4510,13.178125,13.003125,19.69,13.52875,11.22
4527,13.121875,12.80125,19.665,13.611875,11.32
4545,13.2825,12.815,19.721875,13.580625,10.62
4564,13.38,12.896875,19.4275,13.695625,10.6
4581,13.221875,12.731875,19.676875,13.769375,10.59
4600,13.29,12.521875,19.731875,13.85625,10.77
4620,13.415,12.66875,19.5075,13.60875,10.68
4638,13.540625,12.713125,19.62125,13.525,10.74
4655,13.578125,12.814375,19.369375,13.438125,11.22
4672,13.60125,13.07,19.099375,13.429375,11.33
4692,13.725625,13.109375,19.030625,13.534375,11.09
4707,13.655625,13.11375,19.125625,13.705,11.21
4728,13.593125,13.20125,19.075,13.930625,11.0
4742,13.525,12.9875,19.175625,13.911875,11.66
4760,13.48875,12.876875,19.50875,13.925625,11.53
4780,13.510625,12.916875,19.230625,13.941875,11.2
4797,13.516875,13.00625,19.188125,13.68875,11.22
4814,13.63375,13.111875,18.879375,13.775,11.31
4830,13.444375,13.036875,19.0525,13.86625,11.73
4848,13.2725,13.168125,19.14375,14.015625,11.18
4865,13.288125,13.07875,19.079375,14.15375,11.63
4885,13.5225,12.855625,19.1925,14.429375,11.37
4901,13.401875,12.78875,19.340625,14.26875,11.55
4916,13.349375,12.610625,19.609375,14.230625,11.59
4930,13.405,12.8275,19.389375,13.778125,11.8
4946,13.501875,12.715625,19.399375,13.583125,12.02
4963,13.66375,12.631875,19.120625,13.38375,12.3
4984,13.559375,12.770625,19.25625,13.21375,12.12
5002,13.423125,12.648125,19.323125,13.205625,11.81
5018,13.47625,12.905625,18.945625,13.2725,11.6
5034,13.565625,12.695,18.981875,13.5575,11.61
5051,13.56375,12.81625,18.89625,13.52375,11.6
5066,13.454375,12.97625,18.906875,13.8625,11.71
5085,13.52125,12.9625,18.87375,13.8425,11.83
5108,13.601875,12.950625,19.068125,14.179375,11.04
5124,13.459375,12.858125,19.371875,14.110625,11.54
5141,13.454375,12.725,19.509375,14.11125,11.13
5156,13.46875,12.621875,19.559375,13.95,11.46
5175,13.478125,12.623125,19.538125,13.960625,11.1
5191,13.5325,12.71875,19.4825,13.86625,11.54
5211,13.553125,12.6875,19.515,13.844375,11.82
5221,13.58875,12.586875,19.3025,13.521875,12.24
5239,13.65125,12.44875,19.321875,13.578125,12.16
5254,13.7,12.333125,19.09125,13.475625,12.45
5269,13.696875,12.299375,18.956875,13.646875,12.56
5287,13.698125,12.40375,18.695,13.803125,12.48
5307,13.72875,12.37875,18.708125,13.784375,12.44
5325,13.754375,12.42125,18.955,13.869375,11.7
5338,13.675,12.4175,18.871875,13.835625,12.08
5356,13.745,12.61625,18.940625,13.898125,11.75
5371,13.710625,12.588125,19.121875,13.779375,11.59
5386,13.735,12.476875,19.3225,13.665625,12.16
5400,13.72625,12.59375,19.06125,13.81875,12.74
5418,13.705,12.62875,18.91125,13.755,12.93
5440,13.79125,13.006875,18.756875,14.245,11.73
5457,13.67,12.86375,18.85125,14.015,11.67
5477,13.68125,12.79125,18.765,13.9625,11.37
5495,13.686875,12.601875,19.0,13.91125,10.47
5514,13.761875,12.53625,19.07375,13.828125,10.77
5533,13.634375,12.495625,19.279375,13.790625,10.69
5547,13.68,12.47375,19.3,13.54625,11.08
5571,13.829375,12.571875,19.12625,13.6725,10.65
5589,13.771875,12.640625,19.0475,13.94,10.71
